省份,城市,区域,院校名称,建校时间,隶属于,国家重点学科,硕士点,博士点,重点实验室,占地面积(亩),院校类型,办学类型,办学性质,电子邮箱,地址,官方网址,官方电话,中文文献数,985工程,211工程,双一流,强基
浙江,宁波市,北仑区,宁波职业技术学院,1999,浙江省,0,0,0,0,0,综合类,专科（高职）,公办,nzyjy@126.com,宁波经济技术开发区庐山东路388号,http://www.nbpt.edu.cn/,"0574-86891301,0574-86891302",78,,,,
浙江,金华市,婺城区,金华职业技术学院,1994,浙江省,0,0,0,0,2346,综合类,专科（高职）,公办,zsjyc@jhc.cn,浙江省金华市海棠西路888号,https://www.jhc.cn/,"0579-82265227,0579-82265035,0579-82265228",148,,,,
浙江,杭州市,上城区,浙江艺术职业学院,1999,浙江省,0,0,0,0,230,艺术类,专科（高职）,公办,zjartzs@sina.com,杭州市滨江区滨文路518号,http://www.zj-art.com/,"0571-87150116,0571-87150181,0571-87150089",71,,,,
浙江,温州市,瓯海区,温州职业技术学院,1965,浙江省,0,0,0,0,1237,综合类,专科（高职）,公办,wzvtc@wzvtc.cn,浙江省温州市茶山高教园区（温州大学城）,http://www.wzvtc.cn/,"0577-86680020,0577-86680085",84,,,,
浙江,绍兴市,越城区,浙江工业职业技术学院,1979,浙江省,0,0,0,0,912,综合类,专科（高职）,公办,zszjipc@126.com,绍兴市镜湖新区曲屯路151号,http://www.zjipc.com/,"0575-88009064,0575-88009130,0575-88009128",98,,,,
浙江,宁波市,北仑区,武警海警学院,1983,公安部,0,0,0,0,500,政法类,普通本科,公办,gahjxyzb@163.com,浙江省宁波市北仑区小港红联振兴西路205号,,0574-86166858,37,,,,
浙江,衢州市,柯城区,衢州职业技术学院,1912,浙江省,0,0,0,0,387,理工类,专科（高职）,公办,zs0570@126.com,浙江省衢州市柯城区白云街道江源路18号,http://www.qzct.net/,0570-8068678,77,,,,
浙江,杭州市,上城区,浙江同济科技职业学院,1962,浙江省,0,0,0,0,999,理工类,专科（高职）,公办,tk_edu@163.com,杭州市萧山区宁围街道耕文路418号,http://www.zjtongji.edu.cn/,"0571-83863688,0571-83863268",100,,,,
浙江,宁波市,鄞州区,宁波卫生职业技术学院,1925,浙江省,0,0,0,0,359,医药类,专科（高职）,公办,,宁波市高教园区（南区）学府路51号,http://www.nbchs.net/,0574-88126099,68,,,,
浙江,嘉兴市,南湖区,嘉兴职业技术学院,1950,浙江省,0,0,0,0,1180,综合类,专科（高职）,公办,zsb@jxvtc.net,浙江省嘉兴市桐乡大道547号,http://www.jxvtc.edu.cn/default.html,"0573-89978123,0573-89978111,0573-89978066",109,,,,
浙江,杭州市,钱塘区,浙江经济职业技术学院,1978,浙江省,0,0,0,0,577,财经类,专科（高职）,公办,zsb@zjtie.edu.cn,中国浙江省杭州经济技术开发区学正街66号,http://www.zjtie.edu.cn/,"0571-86928113,0571-86928112",108,,,,
浙江,杭州市,萧山区,浙江旅游职业学院,1983,浙江省,0,0,0,0,1080,其他,专科（高职）,公办,student@tczj.net,浙江省杭州市萧山高教园区,https://www.tourzj.edu.cn/,"0571-83686945,0571-83899739",75,,,,
浙江,温州市,鹿城区,浙江工贸职业技术学院,1960,浙江省,0,0,0,0,1100,综合类,专科（高职）,公办,zjets@mail.zjitc.net,"府东路校区：温州市鹿城区府东路717号,瓯江口校区：温州市瓯江口产业集聚区雁云路301号",http://www.zjitc.net/,0577-88321500,119,,,,
浙江,杭州市,钱塘区,杭州职业技术学院,2002,浙江省,0,0,0,0,1000,综合类,专科（高职）,公办,86916835@163.com,杭州下沙高教园区学源街68号,http://www.hzvtc.edu.cn/,0571-56700035,74,,,,
浙江,杭州市,西湖区,浙江树人学院,1984,浙江省教育厅,0,0,0,0,1230,理工类,普通本科,民办,,浙江省杭州市拱墅区树人路8号,http://www.zjsru.edu.cn/,0571-88297000,3,,,,
浙江,舟山市,定海区,浙江国际海运职业技术学院,1979,浙江省,0,0,0,0,600,综合类,专科（高职）,公办,zimc@zimc.cn,浙江省舟山市临城新区海天大道268号,http://www.zimc.cn/,"0580-2095114,0580-2095036,0580-2095002",80,,,,
浙江,杭州市,江干区,浙江警官职业学院,1984,浙江省,0,0,0,0,524,政法类,专科（高职）,公办,zs@zjjy.com.cn,浙江省杭州市下沙高教园区二号大街,http://www.zjjy.com.cn/,"0571-86878161,0571-86836631",56,,,,
浙江,丽水市,莲都区,丽水职业技术学院,1910,浙江省,0,0,0,0,470,综合类,专科（高职）,公办,ls2886316@lszjy.com,浙江省丽水市莲都区中山街北357号,http://www.lszjy.com/,"0578-2122447,0578-2293387,0578-2123456",77,,,,
浙江,金华市,义乌市,义乌工商职业技术学院,1993,浙江省,0,0,0,0,1000,综合类,专科（高职）,公办,zsb@ywu.cn,浙江省义乌市学院路2号,https://www.ywicc.edu.cn/,0579-85633555,185,,,,
浙江,宁波市,镇海区,浙江纺织服装职业技术学院,1979,浙江省,0,0,0,0,600,理工类,专科（高职）,公办,f86328888@126.com,浙江省宁波市江北区风华路495号,http://www.zjff.net/,"0574-86328888,0574-86328004",91,,,,
浙江,金华市,东阳市,浙江广厦建设职业技术大学,1985,浙江省教育厅,0,0,0,0,480,理工类,普通本科,民办,zhaosheng@mail.guangshaxy.com,浙江省东阳市广福东街1号,http://www.guangshaxy.com/,0579-86668888,94,,,,
浙江,宁波市,鄞州区,浙江医药高等专科学校,1984,浙江省,0,0,0,0,833,医药类,专科（高职）,公办,zhangda2044@zjmc.net.cn,"鄭州校区:浙江省宁波市鄞县大道东段888号,奉化校区:浙江省宁波市奉化区四明路666号",http://www.zjpc.net.cn/,"0574-88222701,0574-88367831,0574-88224232",77,,,,
浙江,温州市,龙湾区,浙江东方职业技术学院,2002,浙江省教育厅,0,0,0,0,494,综合类,专科（高职）,民办,zsb@mail.zjdfc.com,温州市经济技术开发区金海三道433号,http://www.zjdfc.com/,"0577-86533927,0577-86556791,0577-86533901",71,,,,
浙江,杭州市,余杭区,浙江交通职业技术学院,1958,浙江省,0,0,0,0,619,理工类,专科（高职）,公办,zhbb@zjvtit.edu.cn,浙江省杭州市莫干山路1515号,http://www.zjvtit.edu.cn/,"0571-88481880,0571-88481758",60,,,,
浙江,嘉兴市,秀洲区,嘉兴南洋职业技术学院,2002,浙江省教育厅,0,0,0,0,580,综合类,专科（高职）,民办,jxny2189@163.com,浙江省嘉兴市大德路999号,http://www.jxnyc.net/,"0573-82302189,0573-82301914,0573-82300617",38,,,,
浙江,杭州市,萧山区,浙江体育职业技术学院,2004,浙江省,0,0,0,0,602,体育类,专科（高职）,公办,zqx7007@163.com,杭州市萧山区萧山高教园区弘慧路,http://www.zjcs.net.cn/,0571-83871131,15,,,,
浙江,杭州市,西湖区,杭州万向职业技术学院,1950,浙江省教育厅,0,0,0,0,262,综合类,专科（高职）,民办,hzwxtjh@yahoo.com.cn,"浙江省杭州市西湖区花蒋路3号（2号校区）,浙江省杭州市西湖区西溪路896号（1号校区）",http://www.wxpoly.cn/,"0571-87154000,0571-87171816",19,,,,
安徽,淮北市,相山区,淮北职业技术学院,1970,安徽省,0,0,0,0,1000,综合类,专科（高职）,公办,hbzjyzsb@163.com,安徽省淮北市相阳路146号（东区）,http://www.hbvtc.net,"0561-3113072,0561-3113073,0561-3222518",27,,,,
浙江,杭州市,钱塘区,浙江育英职业技术学院,1998,浙江省教育厅,0,0,0,0,0,财经类,专科（高职）,民办,yyzhaob@126.com,杭州经济技术开发区（下沙高教园区）4号大街16号,http://www.zjyyc.com/,0571-86911032,54,,,,
浙江,杭州市,西湖区,浙江长征职业技术学院,2004,浙江省教育厅,0,0,0,0,0,综合类,专科（高职）,民办,zs@zjczxy.cn,浙江省杭州市西湖区小和山高教园区留和路525号,http://www.zjczxy.cn/,"0571-85076777,0571-85076628",43,,,,
浙江,绍兴市,上虞区,浙江邮电职业技术学院,1958,浙江省,0,0,0,0,500,理工类,专科（高职）,公办,zs@zptc.cn,浙江省绍兴市滨海新城开元东路88号,http://www.zptc.cn/,"0575-88053348,0575-88052795",46,,,,
安徽,合肥市,蜀山区,合肥师范学院,1955,安徽省,0,0,0,0,1295,综合类,普通本科,公办,zsb@hfnu.edu.cn,"安徽省合肥市金寨路327号（三孝口校区）,安徽省合肥市经济技术开发区莲花路1688号（锦绣校区）",http://www.hfnu.edu.cn,"0551-63674808,0551-62836350",57,,,,
安徽,合肥市,瑶海区,安徽职业技术学院,1958,安徽省,0,0,0,0,1298,综合类,专科（高职）,公办,ahzyxsc@uta.edu.cn,合肥市新站区文忠路2600号,https://www.uta.edu.cn/,"0551-64689666,0551-63417829,0551-64689555",57,,,,
安徽,马鞍山市,雨山区,马鞍山师范高等专科学校,1958,安徽省,0,0,0,0,281,师范类,专科（高职）,公办,zb@massz.cn,安徽省马鞍山市雨山区湖西中路85号,https://www.massz.edu.cn/,"0555-8215015,18955530440",31,,,,
浙江,台州市,黄岩区,台州科技职业学院,1921,浙江省,0,0,0,0,525,综合类,专科（高职）,公办,zsjyc@tzvcst.net,浙江省台州市黄岩区嘉木路288号,https://www.tzvcst.edu.cn/,"0576-89188199,0576-89188299",103,,,,
安徽,安庆市,宜秀区,安庆医药高等专科学校,1943,安徽省,0,0,0,0,630,医药类,专科（高职）,公办,,安徽省安庆市集贤北路1588号,http://www.aqmc.edu.cn/,0556-5306168,35,,,,
安徽,芜湖市,桐城市,芜湖职业技术学院,1903,安徽省,0,0,0,0,1200,理工类,专科（高职）,公办,zsjyc601@126.com,"南校区：芜湖市城南高校园区文津西路201号,北校区：芜湖市银湖北路62号",http://www.whit.edu.cn/,0553-5775161,71,,,,
安徽,芜湖市,弋江区,安徽商贸职业技术学院,1903,安徽省,0,0,0,0,674,财经类,专科（高职）,公办,zhaosheng@abc.edu.cn,安徽省芜湖市弋江区文昌西路24号,http://www.abc.edu.cn/,"0553-5971066,0553-5971046",120,,,,
安徽,芜湖市,弋江区,安徽中医药高等专科学校,1960,安徽省,0,0,0,0,997,医药类,专科（高职）,公办,ahzyygzbgs@yahoo.com.cn,安徽省芜湖市乌霞山西路18号,http://www.ahzyygz.com,0553-4836138,68,,,,
安徽,合肥市,包河区,安徽工业经济职业技术学院,1979,安徽省,0,0,0,0,531,财经类,专科（高职）,公办,zsb410@163.com,安徽省合肥市梁园路1号,http://www.ahiec.net,"0551-63639537,0551-63636410,0551-63628118",51,,,,
安徽,淮南市,谢家集区,安徽工贸职业技术学院,1988,安徽省,0,0,0,0,1400,理工类,专科（高职）,公办,gmzs@ahedu.gov.cn,安徽省淮南市国庆西路199号,http://www.ahgmedu.cn/,"0554-6808022,0554-6808829,0554-6806915",18,,,,
安徽,合肥市,肥东县,安徽水利水电职业技术学院,1952,安徽省,0,0,0,0,1241,理工类,专科（高职）,公办,ahsyzjb@126.com,安徽省合肥市东门合马路18号,https://www.ahsdxy.edu.cn/,"0551-67316958,0551-67316808",39,,,,
安徽,宿州市,埇桥区,宿州职业技术学院,1950,安徽省,0,0,0,0,960,理工类,专科（高职）,公办,szzyzjb@126.com,安徽省宿州市宿符路,http://www.szzy.ah.cn,0557-3603554,17,,,,
安徽,蚌埠市,龙子湖区,蚌埠学院,1976,安徽省,0,0,0,0,1128,理工类,普通本科,公办,bbxyzb@163.com,安徽省蚌埠市曹山路1866号,,0552-3177008,21,,,,
安徽,合肥市,包河区,安徽交通职业技术学院,1956,安徽省,0,0,0,0,270,理工类,专科（高职）,公办,ahjyzs@yahoo.com.cn,"（北区）合肥市太湖东路22号,（南区）合肥市青年路114号",http://www.ahctc.com,0551-63444228,41,,,,
浙江,杭州市,滨江区,浙江警察学院,1949,浙江省,0,0,0,0,861,政法类,普通本科,公办,,浙江杭州市滨江区滨文路555号,http://www.zjjcxy.cn/,,113,,,,
安徽,合肥市,蜀山区,合肥职业技术学院,1951,安徽省,0,0,0,0,1260,综合类,专科（高职）,公办,zs@htc.edu.cn,"合肥市新站区关井路与烈山路交汇处（合肥汇心湖校区）,合肥市巢湖市姥山南路（巢湖鼓山校区）",http://www.htc.edu.cn/,"0551-82364313,0551-82364123",68,,,,
安徽,淮南市,田家庵区,淮南联合大学,1984,安徽省,0,0,0,0,800,综合类,专科（高职）,公办,hnldzsb@hnuu.edu.cn,安徽省淮南市洞山西路,http://www.hnuu.edu.cn,"0554-6862689,0554-6862690,0554-6862688",16,,,,
安徽,阜阳市,颍州区,阜阳职业技术学院,1956,安徽省,0,0,0,0,1155,理工类,专科（高职）,公办,fyzyzsb@126.com,安徽省阜阳市阜南路465号,http://www.fyvtc.edu.cn/,"0558-2182600,0558-2179015,0558-2182633",55,,,,
安徽,宣城市,宣州区,宣城职业技术学院,2002,安徽省,0,0,0,0,840,理工类,专科（高职）,公办,xczyjob@163.com,安徽省宣城市薰化路698号,https://www.xcvtc.edu.cn/,"0563-3395678,0563-2716272",28,,,,
安徽,合肥市,包河区,安徽体育运动职业技术学院,1954,安徽省,0,0,0,0,700,体育类,专科（高职）,公办,,安徽省合肥市包河区花园大道595号,http://www.ahty.net/,"0551-63686550,0551-63685385",16,,,,
安徽,合肥市,瑶海区,安徽广播影视职业技术学院,1960,安徽省,0,0,0,0,619,艺术类,专科（高职）,公办,xueshengchu13062@163.com,安徽省合肥市新站区高教城文忠路与学府路交口,http://www.amtc.edu.cn/,"0551-64200251,0551-64200256,0551-64200252",20,,,,
安徽,铜陵市,铜官区,铜陵职业技术学院,1958,安徽省,0,0,0,0,1051,理工类,专科（高职）,公办,,安徽省铜陵市翠湖四路2689号,http://www.tlpt.net.cn,0562-5813171,55,,,,
安徽,合肥市,长丰县,安徽工商职业学院,1950,安徽省,0,0,0,0,450,财经类,专科（高职）,公办,,"双凤校区：安徽省合肥市双凤经济开发区金宁路北16号,庐阳校区：安徽省合肥市砀山路233号",http://www.ahbvc.edu.cn,"0551-65684886,0551-65659302",63,,,,
安徽,蚌埠市,龙子湖区,安徽电子信息职业技术学院,2001,安徽省,0,0,0,0,849,理工类,专科（高职）,公办,ahdzzjb@sina.com,安徽省蚌埠市大学园区曹山路1000号,http://www.ahdy.edu.cn/,"0552-3172929,0552-3172909",32,,,,
安徽,池州市,贵池区,池州职业技术学院,2002,安徽省,0,0,0,0,770,理工类,专科（高职）,公办,cenyouyou@163.com,安徽省池州市建设西路389号,http://www.czgz.cn,"0566-2091931,0566-2090519",34,,,,
安徽,马鞍山市,雨山区,安徽冶金科技职业学院,2003,安徽省,0,0,0,0,330,理工类,专科（高职）,公办,ahyky@sina.com,安徽马鞍山市湖西南路555号,https://www.avcmt.edu.cn/,"0555-8325046,0555-8325045",11,,,,
安徽,亳州市,谯城区,亳州职业技术学院,1987,安徽省,0,0,0,0,471,理工类,专科（高职）,公办,zjc05585587000@163.com,亳州市药都路1625号,http://www.bzy.edu.cn/,0558-5587000,42,,,,
安徽,合肥市,瑶海区,安徽城市管理职业学院,1981,安徽省,0,0,0,0,563,综合类,专科（高职）,公办,k2516136@126.com,"磨店校区：安徽省合肥市新站区淮海大道300号,经开校区：安徽省合肥市经济技术开发区耕云路158号",http://www.cua.edu.cn,"0551-62516137,0551-62516138",38,,,,
安徽,滁州市,琅琊区,滁州职业技术学院,2000,安徽省,0,0,0,0,1140,理工类,专科（高职）,公办,992587683@qq.com,安徽省滁州市丰乐大道2188号（龙蟠校区）,https://www.chzc.edu.cn/,"0550-3854668,0550-3854670,0550-3854672",97,,,,
安徽,六安市,金安区,安徽国防科技职业学院,1974,安徽省,0,0,0,0,330,理工类,专科（高职）,公办,zsb4000@163.com,安徽省六安市新河东路2号,https://www.acdt.edu.cn/,"0564-3384000,0564-3383486",20,,,,
安徽,合肥市,庐阳区,安徽中澳科技职业学院,1979,安徽省,0,0,0,0,200,理工类,专科（高职）,公办,jiaowu@acac.cn,安徽省合肥市濉溪路312号,http://www.acac.cn,"0551-65148006,0551-65148355",17,,,,
安徽,合肥市,长丰县,安徽国际商务职业学院,1980,安徽省,0,0,0,0,520,财经类,专科（高职）,公办,1851653325@qq.com,合肥市双凤开发区魏武路001号,http://www.ahiib.edu.cn,"0551-66319766,0551-66319748",31,,,,
安徽,合肥市,包河区,安徽审计职业学院,1984,安徽省,0,0,0,0,395,财经类,专科（高职）,公办,caipingsj63@163.com,合肥经济技术开发区方兴大道509号,http://www.ahsjxy.edu.cn/,"0551-63617003,0551-63617105",19,,,,
安徽,合肥市,肥东县,安徽财贸职业学院,1964,安徽省,0,0,0,0,500,财经类,专科（高职）,公办,aczjb@126.com,安徽省合肥市翡翠路900号,http://www.afc.edu.cn,"0551-63865888,0551-63865657",35,,,,
安徽,合肥市,蜀山区,安徽新华学院,2000,安徽省教育厅,0,0,0,0,1500,综合类,普通本科,民办,zsb@axhu.cn,安徽省合肥市高新区望江西路555号,http://www.axhu.edu.cn,"0551-65872666,0551-65872888,0551-65872766,0551-65872866",81,,,,
安徽,六安市,金安区,六安职业技术学院,2001,安徽省,0,0,0,0,1500,理工类,专科（高职）,公办,webmaster@luanteccol.net.cn,安徽省六安市正阳路1号,http://www.lvtc.edu.cn/,"0564-3713016,0564-3711032",40,,,,
安徽,合肥市,蜀山区,安徽新闻出版职业技术学院,1999,安徽省,0,0,0,0,173,理工类,专科（高职）,公办,zsb@ahcbxy.cn,合肥经济技术开发区繁华大道220号（明珠广场东1公里）,http://www.ahcbxy.edu.cn/,"0551-63817970,0551-63838746",24,,,,
安徽,合肥市,蜀山区,安徽绿海商务职业学院,2007,安徽省教育厅,0,0,0,0,360,财经类,专科（高职）,民办,lhzs2007@163.com,安徽省合肥市经济技术开发区合安路68号,http://www.lhub.cn/ ,"0551-63350116,0551-63350117",7,,,,
安徽,芜湖市,弋江区,安徽机电职业技术学院,1935,安徽省,0,0,0,0,520,理工类,专科（高职）,公办,ahjd_zsb@126.com,安徽省芜湖市高校园区文津西路16号,http://www.ahcme.edu.cn,"0553-5975116,0553-5975118",56,,,,
安徽,池州市,贵池区,池州学院,1977,安徽省,0,0,0,0,1959,综合类,普通本科,公办,zsb@czu.edu.cn,安徽省池州市教育园区,http://www.czu.edu.cn/,"0566-2748992,0566-2748627",68,,,,
安徽,合肥市,蜀山区,合肥通用职业技术学院,2000,安徽省,0,0,0,0,440,理工类,专科（高职）,公办,hftyxy@126.com,安徽省合肥市长江西路888号,,"0551-65335652,0551-65319638",3,,,,
安徽,合肥市,蜀山区,安徽警官职业学院,1981,安徽省,0,0,0,0,309,政法类,专科（高职）,公办,ahjgxy2233386@163.com,"西校区：合肥市蜀山区清溪路78号,东校区：合肥市蜀山区清溪路13号",http://www.ahjgxy.com,0551- 62233386‬,91,,,,
安徽,合肥市,瑶海区,合肥共达职业技术学院,2007,安徽省教育厅,0,0,0,0,329,理工类,专科（高职）,民办,gdxyzjb@163.com,"合肥新站高新技术产业开发区九顶山路68号（九顶山路校区）,合肥市庐阳区六安路269号（六安路校区）",http://www.hfgdxy.cn/,0551-62720255,4,,,,
安徽,合肥市,蜀山区,安徽林业职业技术学院,1952,安徽省,0,0,0,0,400,农林类,专科（高职）,公办,ahlyxy@126.com,安徽省合肥市玉兰大道99号,http://www.ahlyxy.cn,0551-65311686,19,,,,
安徽,铜陵市,铜官区,安徽工业职业技术学院,1984,安徽省,0,0,0,0,760,理工类,专科（高职）,公办,agzybgs@163.com,安徽省铜陵市长江西路274号,http://www.ahip.cn,"0562-2872767,0562-2866257",23,,,,
安徽,合肥市,合肥高新技术产业开发区,民办万博科技职业学院,2000,安徽省教育厅,0,0,0,0,800,综合类,专科（高职）,民办,wbc@wbc.edu.cn,合肥市高新技术产业开发区创业西路1号,http://www.wbc.edu.cn,"0551-65316726,0551-65334292",0,,,,
安徽,合肥市,蜀山区,安徽邮电职业技术学院,1948,安徽省,0,0,0,0,160,理工类,专科（高职）,公办,ahptczs@126.com,合肥市蜀山区潜山路382号,http://www.ahptc.cn/cn,"0551-62231188,0551-62231031",10,,,,
安徽,合肥市,庐阳区,民办合肥经济技术职业学院,2001,安徽省教育厅,0,0,0,0,189,综合类,专科（高职）,民办,hfjjxy@163.com,合肥市环湖东路中段360号,http://www.hfet.com,"0551-65630870,0551-65630887",0,,,,
浙江,绍兴市,越城区,绍兴职业技术学院,1999,浙江省教育厅,0,0,0,0,512,理工类,专科（高职）,民办,zsyjyc@sxvtc.com,绍兴市越城区山阴路526号,http://www.sxvtc.com/,"0575-88329488,0575-88054099",64,,,,
安徽,合肥市,合肥经济技术开发区,民办合肥财经职业学院,2006,安徽省教育厅,0,0,0,0,841,财经类,专科（高职）,民办,736905799@qq.com,合肥经济技术开发区大学城汤口路中段（方兴校区）,http://www.hffe.cn,"0551-63690830,0551-63690801",0,,,,
安徽,合肥市,庐阳区,安徽文达信息工程学院,2001,安徽省教育厅,0,0,0,0,703,理工类,普通本科,民办,138583277@qq.com,安徽省合肥市紫蓬山风景区森林大道三号,http://www.wendaedu.com.cn,0551-68583277,45,,,,
安徽,蚌埠市,固镇县,蚌埠经济技术职业学院,2007,安徽省教育厅,0,0,0,0,500,财经类,专科（高职）,民办,bbzsjy@163.com,安徽省蚌埠市蚌固路中段,http://www.bjy.ah.cn,0552-2125678,3,,,,
安徽,合肥市,包河区,安徽电气工程职业技术学院,1979,安徽省,0,0,0,0,199,理工类,专科（高职）,公办,huangzhuyong@163.com,合肥市包河区包河大道56号,http://www.aepu.com.cn/,"0551-63705512,0551-63705636,0551-63705508",26,,,,
安徽,合肥市,蜀山区,安徽三联学院,1997,安徽省教育厅,0,0,0,0,780,理工类,普通本科,民办,zb@sanliangroup.com.cn,"主校区位于安徽省合肥市经济技术开发区合安路47号,亿华校区位于安徽省合肥市东华大道100号（护理学院）",https://www.slu.edu.cn/,"0551-63830736,0551-63826339",128,,,,
安徽,合肥市,蜀山区,安徽艺术职业学院,1956,安徽省,0,0,0,0,170,艺术类,专科（高职）,公办,ahyxcxf25@sina.com,"合肥市宣城路16号（宣城路校区）,合肥市经济技术开发区丹霞路8号（丹霞路校区）",http://www.artah.cn,"0551-64655938,0551-63876268",33,,,,
安徽,淮南市,田家庵区,淮南职业技术学院,2000,安徽省,0,0,0,0,600,理工类,专科（高职）,公办,hnvtczsb@sohu.com,安徽淮南洞山林场路1号,http://www.hnvtc.cn/,"0554-6640567,0554-6647358,0554-6656532",17,,,,
安徽,安庆市,迎江区,安庆职业技术学院,2003,安徽省,0,0,0,0,744,理工类,专科（高职）,公办,aqzsjyc@163.com,安徽省安庆市天柱山东路99号,https://www.aqvtc.edu.cn/,"0556-5283049,0556-5283080,0556-5283011",37,,,,
安徽,阜阳市,颍州区,阜阳科技职业学院,1984,安徽省教育厅,0,0,0,0,300,理工类,专科（高职）,民办,573975966@qq.com,安徽省阜阳市清河西路99号,http://www.fky.net.cn/,"0558-2567108,0558-2567219",0,,,,
江苏,苏州市,张家港市,沙洲职业工学院,1984,江苏省,0,0,0,0,530,理工类,专科（高职）,公办,xsc@szit.edu.cn,江苏省苏州张家港市福新路1号,http://www.szit.edu.cn,0512-56730120,78,,,,
江苏,南京市,姑苏区,江苏联合职业技术学院,2003,江苏省,0,0,0,0,10000,理工类,专科（高职）,公办,,南京市中山门外麒麟门麒西路68号,http://www.juti.cn/,"025-84124716,025-84124508",38,,,,
江苏,淮安市,清江浦区,江苏电子信息职业学院,1978,江苏省,0,0,0,0,1080,理工类,专科（高职）,公办,haxxzs@qq.com,江苏省淮安科教产业园枚乘东路3号,,0517-83808080,110,,,,
江苏,南通市,崇川区,南通职业大学,1973,江苏省,0,0,0,0,1000,理工类,专科（高职）,公办,,南通市青年中路89号,http://www.ntvu.edu.cn,"0513-81050716,0513-81050718",72,,,,
江苏,苏州市,虎丘区,苏州工艺美术职业技术学院,1958,江苏省,0,0,0,0,561,艺术类,专科（高职）,公办,zsjy@sgmart.edu.cn,苏州市吴中大道国际教育园南区致能大道189号,https://www.sgmart.edu.cn/,"0512-66875617,0512-66501984,0512-66503847",127,,,,
江苏,无锡市,惠山区,无锡城市职业技术学院,1911,江苏省,0,0,0,0,822,财经类,专科（高职）,公办,583454961@qq.com,江苏省无锡市惠山区钱藕路12号（无锡市职教园内）,http://www.wxcu.edu.cn/,"0510-85522620,0510-83276099",171,,,,
江苏,泰州市,海陵区,泰州职业技术学院,1958,江苏省,0,0,0,0,1082,理工类,专科（高职）,公办,zsbtzy@163.com,江苏省泰州医药高新区天星路8号,http://www.tzpc.edu.cn,"0523-86055000,0523-86055001,0523-86055002",140,,,,
江苏,南京市,鼓楼区,江苏卫生健康职业学院,1933,江苏省,0,0,0,0,500,医药类,专科（高职）,公办,jsjkzyxyzb@163.com,南京市浦口区黄山岭路69号,http://www.jssmu.edu.cn/,"025-68172882,025-68172899",77,,,,
江苏,淮安市,清江浦区,江苏财经职业技术学院,2004,江苏省,0,0,0,0,810,财经类,专科（高职）,公办,jscjzsb@126.com,江苏省淮安市高教园区枚乘东路8号,http://www.jscjxy.cn/,"0517-83858686,0517-83858666",186,,,,
江苏,连云港市,海州区,连云港职业技术学院,1979,江苏省,0,0,0,0,1150,理工类,专科（高职）,公办,lygtczjb@126.com,江苏省连云港市晨光路2号,http://www.lygtc.edu.cn/index.html,"0518-85985555,0518-85985678",61,,,,
江苏,宿迁市,赣榆区,宿迁职业技术学院,2000,江苏省,0,0,0,0,500,理工类,专科（高职）,公办,502551990@qq.com,江苏省宿迁市湖滨新区学成路8号,http://www.sqzyxy.com/index.html,"0527-80805188,0527-80805177",9,,,,
江苏,镇江市,丹徒区,镇江市高等专科学校,1992,江苏省,0,0,0,0,1000,理工类,专科（高职）,公办,gzzb@zjc.edu.cn,江苏省镇江市高校园区长香西大道518号,http://www.zjc.edu.cn/,"0511-88965837,0511-88962859",36,,,,
江苏,南京市,玄武区,南京科技职业学院,1958,江苏省,0,0,0,0,740,理工类,专科（高职）,公办,,江苏省南京市江北新区欣乐路188号,http://www.njpi.edu.cn/,"025-57054841,025-58370715,025-57028510",144,,,,
江苏,苏州市,太仓市,苏州健雄职业技术学院,2004,江苏省,0,0,0,0,700,理工类,专科（高职）,公办,jianxiongzhaosheng@163.com,江苏省太仓市科教新城健雄路1号,http://www.wjxvtc.cn,"0512-53940832,0512-53940813",141,,,,
江苏,南通市,通州区,南通科技职业学院,1945,江苏省,0,0,0,0,600,农林类,专科（高职）,公办,ntnyzjb@126.com,江苏省南通市青年中路136号,,0513-85991313,82,,,,
江苏,南京市,高淳区,南京机电职业技术学院,1978,江苏省,0,0,0,0,380,理工类,专科（高职）,公办,,江苏省南京市高淳区鹿鸣大道33号,,"025-84120820,025-84170899",65,,,,
江苏,南京市,溧水区,南京视觉艺术职业学院,1999,江苏省教育厅,0,0,0,0,800,艺术类,专科（高职）,民办,,南京市溧水区柘宁东路116号,http://www.niva.cn,"025-57246666,025-57246677",19,,,,
江苏,盐城市,盐都区,盐城工业职业技术学院,1964,江苏省,0,0,0,0,330,理工类,专科（高职）,公办,ycfyzjc@126.com,江苏省盐城市解放南路285号,http://www.yctei.cn/,"0515-88583915,400-158-0515",80,,,,
江苏,南京市,江宁区,应天职业技术学院,1953,江苏省教育厅,0,0,0,0,600,理工类,专科（高职）,民办,zb@ytc.edu.cn,南京市江宁区将军大道666-6号,http://www.ytzyjsxy.cn/,"025-52739958,025-52739966,025-52739977",15,,,,
江苏,南京市,江宁区,正德职业技术学院,1998,江苏省教育厅,0,0,0,0,250,理工类,专科（高职）,民办,zdzb@zdxy.cn,南京市江宁经济技术开发区将军大道18号,http://zd.nuaa.edu.cn/,"025-52111077,025-52111827,025-52111229",20,,,,
江苏,无锡市,滨湖区,太湖创意职业技术学院,2007,江苏省教育厅,0,0,0,0,600,理工类,专科（高职）,民办,zb@thcyzy.org,江苏省无锡市钱荣路史巷160号,http://www.thcyzy.org,"0510-85528802,0510-85528805",3,,,,
